account,userType,percent,tokenAmount
ZO52BIFNYABVSAFI75UZYTDTNX24XB52NTAKTOBEPQS76SQQJX6HD33J2E,5,0.43,10831.889081 VOI
2TCUW2NCFV3K6INURZPLB5FEUB4CUBGQPJLC6II7PXEUTB7IKS4YEEBDH4,12,1.04,25996.533795 VOI
6Q74W36WN35KYKWJ3TLYZKG7AVKTUQQPKF3URGFFQY4NMUWVHCDL53GRFY,13,1.13,28162.911612 VOI
VCY6QRZVJSFVYEUNTUJI342RHYYEQSFCJ3AQAWX7HAMEKW3FESEI4VCYBE,9,0.78,19497.400347 VOI
6X5PCGELDAF2A7HL2D4Y6LXRP5VGOLC5FP4RLSR2FFNONYZGJA3URXXNSA,10,0.87,21663.778163 VOI
BSVFQL2I7YZWVRQ5THOPTXZXPUYOMYPXUGJUQLVZGQEEPJ27EUZCPEANDI,8,0.69,17331.02253 VOI
SRFARKN5FMO7BI37VHUMKC7IQO6PLIE7UPJAJ3NBLER5RZZJ5LEHCUWFLI,8,0.69,17331.02253 VOI
ORORC4PHV2IE2QMWMC3UN6WKJSBYNN4JGWV47FQVWKDFPEZYIS5PEDZZIA,7,0.61,15164.644714 VOI
HIAQW5UM36UFYYDDKJWZCXDAZ3O7KQOQJ6PB55X46MABVQBKJA73NBY4FM,9,0.78,19497.400347 VOI
CUY4TINI2DHV333UUNGDMVD23RDY7LMGEB2ZP364OWVLAWY5UGXR53OVOI,7,0.61,15164.644714 VOI
TZGYXZ6OG5AEF7DH5DFH2A65RH3CVUNOJN36D27MJ5YWV6ZC67DX4HDCIM,9,0.78,19497.400347 VOI
BSLBJH3F7S3URBY2UJD3FPKPVXWJUDXHQTNWGOLRD3JPDSCKPOVXY7TLSE,8,0.69,17331.02253 VOI
XQ4WJMJBBUSUAV3P53YGC7M5ZWDJI7S5IZWO334Z5GU7SN4Y6KZNUAQZBQ,11,0.95,23830.155979 VOI
PE7JOARGLQY7P4P3I3OPE4D4UH5FMWZHEN3VTVY3ORZTJJY3QISMV3DNOA,22,1.91,47660.311958 VOI
MUTS5EI5IYSNNM2QDLNPBJ2NNRSRRMUC4S6OTCXM3JZMHUAJOSJT6YUKRA,20,1.73,43327.556326 VOI
AUSTSGSNXEGTUD3TIO7ORZADRB5BPAMHKMHQXGLWONMSJNZEP42XCHMVOI,10,0.87,21663.778163 VOI
GLOSSYXX5RTAPRAKN4VOMO3BWPKDXMRQ4FJO6DNEIF7BZC6W324VDMR5CY,13,1.13,28162.911612 VOI
ZJH2W6EUELASJOUFBVFTROFGP3COVDPZTMBZHWRMTGEJYEHQVGAHMGWMUY,14,1.21,30329.289428 VOI
XQBFLQHVKRCPVGDBVPMW5GKVSTH4B32UCGTAWYPXEBGNPLIFXO5RFSYVOI,10,0.87,21663.778163 VOI
4IIYAT5UPFR6NCN64XXSDMCFOCJQEZNXUCIT5ZOQ5HPDWVIULXMTSZDZEE,7,0.61,15164.644714 VOI
GLG2ZIDZFIFYFNL73AIRZXAPLN3XH4ILXJX5XGXXQNA5JGDWTO6VZZSLPM,13,1.13,28162.911612 VOI
GOJFYNMTLD65D3T42MY7DK6D3HFUTNV5LNAKEYIHZRG5JMCQYDVLEGH5QI,8,0.69,17331.02253 VOI
VYK2HS4YHAKPESNM3SDNZSH4623AOX3JTSB6DJLS4WQAH2AWBFKGPODPTQ,7,0.61,15164.644714 VOI
BEEFEWNPV72AOTW6GG33HEIHEHTWPDR7KWMAK4ARNSD2MEJM4K526UEHY4,9,0.78,19497.400347 VOI
XAFITVEYRC475CMIFAMGA76SO3MLYTKYEFB5HD5MPQUYJRE35CQMF43HWU,16,1.39,34662.045061 VOI
G2OYAUKAEINBZ4YHUDYDDARZY3PXE7TBHN37ACIXHUPVIYWRHALO2I326E,9,0.78,19497.400347 VOI
OAM7BXJNQVBFJVPKK4RTHQMPWQJURF6B6YPXBIV7UV76EMGZUZDPV25F6I,10,0.87,21663.778163 VOI
N6AHTV6CXJZSUHU6VBZOT37ATLUIGR3IBBBPQHCFJSH5WOOAJVJDOGPSJM,10,0.87,21663.778163 VOI
LENSGH2LLBKUFJFE7RHERTGTKLZQAUZDNJHDCNHWVYWV2RFPETU72PMOEM,10,0.87,21663.778163 VOI
TBKH6I4TIKO6OV35BBFB74SGPUGGPZ7QINKPNLSVG24OR5IUKHDIXHFDGM,10,0.87,21663.778163 VOI
3NJCEVVDHE4URRLPZ5ENV3TZLAEGITRPVOR3FKKYG5ROLUY6CEAVO3VLRM,11,0.95,23830.155979 VOI
AE7J2DFIHOUO4SEC5FYKVORIJGYIKV7JW5DQRL62TMCTGU3FZNYZZFQSSE,11,0.95,23830.155979 VOI
VOINOTFUHAR3NYQQHRP34DJ6KIJH3SFPCXUIXXU3IKWHHY6DY4WWJP44IM,15,1.3,32495.667244 VOI
KM76LLMPQMQMOOAJ22OMXGA7Y4ACRXIX3Y4PRLSBV6JAAKJFEGJQOMDLEI,11,0.95,23830.155979 VOI
LBAMBLVEQTKMLUYIOHZR6USWVFWAZ477JMLEJNBVMG4KV5BYFXTTQASBNI,11,0.95,23830.155979 VOI
UD5LOVE643WWV7CFQVMAYW6L5J6OW2ST3TTYYIKGDSRC3AEMFKV2RC667U,15,1.3,32495.667244 VOI
ORADHH6KFY7A6JUTVVH4SHVUY7MXDWPTROSXHMWVJMWUFS6IKO5KASYOYE,13,1.13,28162.911612 VOI
AAUFU2JX5HVJKIKMEYRM7RIZB6QE3YU3JULCX3SCP3MWXCA3MB7JCRHYHY,15,1.3,32495.667244 VOI
ZPAOVODPZF4SNC6RJAIJVHDUY6MCIGUKE3UFJC46KRXP3URDEJSITZO5FA,13,1.13,28162.911612 VOI
5GQQRWZ2QSJNBHY76F2SMEDXFUGI2ZXDTHC6ULO5OYO7CRD27IYVC253DI,11,0.95,23830.155979 VOI
6D7KNVZAJXA525B7M6OIGPKQRV5V3TJANKJDPCGJM5CCTFRPIU6EOVNDGM,7,0.61,15164.644714 VOI
VFR4XCDMAXMDL2EPK5E6XSQOETSXVD5EKIIDNWFWVNMRPC6G4LGH6AKSHY,10,0.87,21663.778163 VOI
4NDEJKMLZEY276DZSHT2WD67L5QQE2ZHX2UQAZ2N5N2HMLHDCNOPQAUM2Y,18,1.56,38994.800693 VOI
P5A53V6YD6IUY4DKQOO23L6JKFPTWQXYKEQBQBCC3NPDJPBFCTPITAVIYU,5,0.43,10831.889081 VOI
XMU47TKW2UJOIF3PAMPF5UNJXSXVPUX53F66FHTQJQHMT6EV4FY5VVA6H4,12,1.04,25996.533795 VOI
SS5CMWWAJOXEFNN5O6X675VSHK56ZHFDBOWGRRG3E4RI7V3IHICEYNMONE,11,0.95,23830.155979 VOI
ZVFJODKUHQCSFVGRJIF3CSU2AAU2AM56SQPIY24ODHP3ZQFVGPUPDCAFGQ,18,1.56,38994.800693 VOI
R7TBR3Y5QCM6Y2OPQP3BPNUQG7TLN75IOC2WTNRUKO4VPNSDQF52MZB4ZE,11,0.95,23830.155979 VOI
VCHUNFSWFLDZ4ITV46I7OLKRGXWDGAW4VH2FTSIKVHJWRMAL6PES6VNIDA,7,0.61,15164.644714 VOI
R45WPDWADHVPP2PW7BKJUX2YTSNZ5AWXBOEKGHXLN55BGZSZGWGSVS5V5E,6,0.52,12998.266898 VOI
NL3NIBJBATMITPDMKNRILMGRQ3IM4BGX5ZGJSUXWFDLJQE73S2D4H36QKE,10,0.87,21663.778163 VOI
OFDX2SLOWN445RYTR24K6B4UQ4KU3ZT7G63ZUZRICICEPD52SBHPZLG32Q,13,1.13,28162.911612 VOI
O7RPYIZ6M4R22TKINZSUZTT2MUJU2SA7FGQCZQ4CXCTU65BG6FCVG6FUPM,10,0.87,21663.778163 VOI
SGWIY4Z7IL7UHAVIIMVPZSOZMQPYFZRD3JDVIFNR4GHRZJTEACVAU6PXTQ,11,0.95,23830.155979 VOI
KQSGM2T2RO45NABKO6J7OZJXP2KWOENILIODDSIHZGI7AWMY6N4OHL7BCU,4,0.35,8665.511265 VOI
3RWW7BCSMPMOIFQXVQMOYOTOO7OKKZ2SXHNKRPKJ657PJ5NS666KBVPNPM,13,1.13,28162.911612 VOI
XIZCY3573263C5N5KS7BTZGB2AM2GDMKHGTWXDHS4VB4L77E3V6LAEFRYA,15,1.3,32495.667244 VOI
NORVOI324M6ME7ECXBOXAHWIYKV5EM335OGA7S6KVHBQFXXZ7FYVWIB2T4,10,0.87,21663.778163 VOI
I7NF5EWAUHZGFGVR4BNWST6DKWXRFWMJENGC3THJOXNTA6CB7SXAZENWTY,5,0.43,10831.889081 VOI
UPHSXCIIPEAQTZV5KSVG4AEHX3WWJEPGSBWTI2RDNJ3JBUCF5PIGOEXZDU,11,0.95,23830.155979 VOI
MSWW5DDV5OE3IKHOR5KTTYPDSTRUXIYL3BJL4ZDS6YV2KWF5SUOOVA6W6Q,12,1.04,25996.533795 VOI
UIOFPPIDQ7NBDP74BI5RS6E32LWPK7XFPUTDDS5JUXXENZWKY4IRYJODKE,12,1.04,25996.533795 VOI
STABLEBIDVRZ4NOB76MBUPRY5QDJEQBHNQW7TUQ3DHR4ZZ27AWZU3U6DVQ,11,0.95,23830.155979 VOI
VFKNUICBZAWC6SEUMJLHYOTXZOB74JPFC6VP2ED2MLLPZI64N3RXPHYV5Q,9,0.78,19497.400347 VOI
QMVOVBS3XVVTYAWJRBKV6PJE3ARU2JAQKVBFQHKMAMJEJP5J5JVJN5C4JY,10,0.87,21663.778163 VOI
7V2WR2NL2POCFGMQBQ5Y375ABLUCMMU6DTMDQK22D4CLR3PBO25D6R55CA,8,0.69,17331.02253 VOI
63VHG2ME45CQC6GSX3GQ2RGWJWYR4FOBPBHNIOS5TYNNTTXCHK2XRJ2DY4,11,0.95,23830.155979 VOI
7WO47R4XY5TIO3YP4KFK7RU6Z72YL5VPPIOM2P5NNFH6YFYLQZVVJWMJFI,6,0.52,12998.266898 VOI
LNAFIFNIKKMZLMGVJ3QQJJ5MBK5ALIURNLGZQQLTJ42QPVWG6M22455UNU,12,1.04,25996.533795 VOI
CDNLM2BPHVPZYLG4WRFOZHJZPUHK53LQPOMEFNN23L7PXUDDCYM243IESE,10,0.87,21663.778163 VOI
54I65DE4SBMBBQB7W54INEAQ6E6ZB2K7NVGCCS3C7J4I7CPB52HRGBR5DM,11,0.95,23830.155979 VOI
XM4ZODSANMIBBY6P6QJO65BCRLNTFTLMLI7UTDO7OLS4N2ABB72WJXI3NE,8,0.69,17331.02253 VOI
JAAEBTA3R4CP5VGNGMLLQ57DLCQ2M5LKNGA3NI5FIHFQQWPV4E55NAK37E,11,0.95,23830.155979 VOI
C5NZ5SNL5EMOEVKFW3DS3DBG3FNMIYJAJY3U4I5SRCOXHGY33ML3TGHD24,16,1.39,34662.045061 VOI
TJUVSNRBDTF2DDAWQDNLE5B4J2KUA7QQOEWSBFT5OGVPFZX5C25WWG4D3I,7,0.61,15164.644714 VOI
PIN57KE5EU7NKHERL4MDS46GJWNE6RPUH2SLQEK7BAXRKMZC3RLIGV5LO4,9,0.78,19497.400347 VOI
RCTDIDXBAS2TIAYQZOFJTCIXD5HRANYJH2CBBMEPSYQ37IZZOHTZNDESQY,5,0.43,10831.889081 VOI
DNNRKF6EXIGIAA45LSXOU2IJXHLC4IXF6EP5AXBTE3VAZBWDS2PFQQMCSU,13,1.13,28162.911612 VOI
VOIUK3B5KQXVMVMYMLZOELHNABRKV27BP3CZRIK2ZCF7HEFP4F6APX76NM,11,0.95,23830.155979 VOI
6B7YP7LZICRVZCVMDHOXHX3MMRS5IS5UHY3CPXX6PZILMK2TXOAMCAXSFE,9,0.78,19497.400347 VOI
HJKZF4CUQRFQUUHR2O3YFBYKCCQIDU6A3JGBNKMAPWQ65LI2HUSYKC7EBM,9,0.78,19497.400347 VOI
77YOKHWKK7FHEAULULKCZV23TIUFZQCT25RLDTXUXSZGCRDLS7WGDBQ75Q,9,0.78,19497.400347 VOI
UQXYGA6ULSAGYR5JJ7BMXYDU7RNGAEHXM2QSHDQGNNPIZ7MJZ3HLKVJ4KU,8,0.69,17331.02253 VOI
CAPLHTQEZTJKJT64G5326IHHEHISYEYHDH44VR34YP3OUJ2O56L6TSONMA,11,0.95,23830.155979 VOI
ALGONAUTSPIUHDCX3SLFXOFDUKOE4VY36XV4JX2JHQTWJNKVBKPEBQACRY,9,0.78,19497.400347 VOI
DJASBA6SCNC5HT463XRDONJ7W44HM4KXK7UB3TOF7ISZONSHG4YVTGTQWE,9,0.78,19497.400347 VOI
NVZ4JBXBFOVR3R5XSKYGAUNXHEJ5V6TAYYFDGCMMV6RINWSQBJ5WSGEOMA,10,0.87,21663.778163 VOI
WAUEKBMVVAZPRPJCAG7XFBVQY3UDMMY2IBWR2G3YUV2FXSMGEGYWDFRCBI,8,0.69,17331.02253 VOI
UYN332CM6YTIPCT3PRHT52CYILSZLLNI2XJ6XIJYNDQE22PNPPXKSK4POE,6,0.52,12998.266898 VOI
SL7FKCMPOY2SBWHWANY37X26FQZJW67U7ZC2ZA5UK7GAZIXPB3UX6ED2PE,4,0.35,8665.511265 VOI
ICPHQCX6RN56SNCPFBMEAODL6SUKOZO6NSZKK6JLKUZU5IYEJ5AFZLOYHM,6,0.52,12998.266898 VOI
PEACET4BV4AIUMZT2EHXPI5PR6NT6HKPA2FNLOMS2NILIUKRPTYAGVG7IQ,11,0.95,23830.155979 VOI
CLN2KRTZNH3N34G2232ZGGHRP7L2LV2INM55LTT77TPKQX6RQRC3PSX55A,9,0.78,19497.400347 VOI
RH556KVHEZMSDEFIHQQJJOIBFHVZZGYT2YTXF67A7LWMUR5EA6S524DGDQ,5,0.43,10831.889081 VOI
3RJFAVHRJFQMA6L5O42KFJDFAWBRCIRON4OBXXW3EECCOFXLGHSU56W3SU,6,0.52,12998.266898 VOI
4MD2KSGCSMXMUF6PKDZTYYQJ2M6GI2IMHSELVOGDAKJNXA4DCUBLL77OUU,7,0.61,15164.644714 VOI
VOIH4YG4VLOGXS5SRQSLTVPXLIC5TBM7KGOZ25IS5YQS2L67RBD2NZFHUE,7,0.61,15164.644714 VOI
PAME3PYLJCMBY5UAPJHP6G4FROWEIRMWHYBNE2QPUTAWKQDFSGBB2JCQ5E,3,0.26,6499.133449 VOI
HRBS5SLOFBXXSQRUHBSGH3E3R6PHSHVVUXY65POW3XHT7JOMPJF6T6KJA4,4,0.35,8665.511265 VOI
6UGKB7P6ZX6JEARQHCPZPEERODXDOGUHMXQCOAU6MA3WN4JSZQ5EDUCV4Q,2,0.17,4332.755633 VOI
4GABP64LRW5XTM3ONCDETM64SRHJ3WDTXLX3TOE4KVPMX6CEX4BR44TSJY,2,0.17,4332.755633 VOI
GBVTLLYJC73DDU3XMBWMSZM6UIXWJYUFHAMUT2VNEIKJGJTKGN6FOQCJWU,1,0.09,2166.377816 VOI
