account,userType,percent,tokenAmount
MUTS5EI5IYSNNM2QDLNPBJ2NNRSRRMUC4S6OTCXM3JZMHUAJOSJT6YUKRA,11,1.17,29131.355932 VOI
6X5PCGELDAF2A7HL2D4Y6LXRP5VGOLC5FP4RLSR2FFNONYZGJA3URXXNSA,6,0.64,15889.830508 VOI
54I65DE4SBMBBQB7W54INEAQ6E6ZB2K7NVGCCS3C7J4I7CPB52HRGBR5DM,8,0.85,21186.440678 VOI
R7TBR3Y5QCM6Y2OPQP3BPNUQG7TLN75IOC2WTNRUKO4VPNSDQF52MZB4ZE,11,1.17,29131.355932 VOI
YN3K4TCNIK6LKXHNLFQNXMMQ7ELPKATNXOZYRZNT5IQRMUL5BSQFAOH5OA,9,0.95,23834.745763 VOI
VOIJEDAO3FPOINI65JWXGCR3MI4QYXFWJ5ERATAF3DSWPO5RAVRQ4EV4NM,14,1.48,37076.271186 VOI
VCHUNFSWFLDZ4ITV46I7OLKRGXWDGAW4VH2FTSIKVHJWRMAL6PES6VNIDA,8,0.85,21186.440678 VOI
7V2WR2NL2POCFGMQBQ5Y375ABLUCMMU6DTMDQK22D4CLR3PBO25D6R55CA,12,1.27,31779.661017 VOI
DTHIRTEENUHXDHS7IZZBUPHXYWNT5TSSAAUX6NKTLJBR5ABOPTHNEA4DCU,8,0.85,21186.440678 VOI
77YOKHWKK7FHEAULULKCZV23TIUFZQCT25RLDTXUXSZGCRDLS7WGDBQ75Q,2,0.21,5296.610169 VOI
MSWW5DDV5OE3IKHOR5KTTYPDSTRUXIYL3BJL4ZDS6YV2KWF5SUOOVA6W6Q,4,0.42,10593.220339 VOI
6D7KNVZAJXA525B7M6OIGPKQRV5V3TJANKJDPCGJM5CCTFRPIU6EOVNDGM,6,0.64,15889.830508 VOI
C5NZ5SNL5EMOEVKFW3DS3DBG3FNMIYJAJY3U4I5SRCOXHGY33ML3TGHD24,10,1.06,26483.050847 VOI
CAPLHTQEZTJKJT64G5326IHHEHISYEYHDH44VR34YP3OUJ2O56L6TSONMA,7,0.74,18538.135593 VOI
7WO47R4XY5TIO3YP4KFK7RU6Z72YL5VPPIOM2P5NNFH6YFYLQZVVJWMJFI,9,0.95,23834.745763 VOI
WD6M4AZPEUXJQGO6II2XH46Z3QFZYXRNRW5S33YHPN7TWKQT4474Z4QSGI,9,0.95,23834.745763 VOI
GBVTLLYJC73DDU3XMBWMSZM6UIXWJYUFHAMUT2VNEIKJGJTKGN6FOQCJWU,6,0.64,15889.830508 VOI
